Entity Name,Github handle,Entity Package Name,Entity Submitted,KYC Complete,"Total Rewards [sum of Quest + Grants, paid out from community & ecosystem]",Quest Rewards,Grant Rewards,Foundation Ecosystem Delegation [Amber rewards],Community Delegation,Core Contributor Delegation,Strategic Partners & Reserve Delegation,Total Tokens Staked,% of stake,Cumulative % Stake
w3m,pkrasam,pkrasam,TRUE,Not necessary -- delegation only,0,,,"331,614","359,249","500,000","500,000",1690863.504,0.05%,99.96%
Blockchain at Berkeley,danielimkk,bab-danielimkk,TRUE,TRUE,"750,000",,,"100,000",0,0,0,"850,000",0.02%,99.99%
UCL Blockchain Society,LRUki,LRUki_LBL_UCL,TRUE,Not necessary -- delegation only,0,,,"100,000",0,0,0,100000,0.00%,99.99%
second state 2,hydai,hydai,TRUE,TRUE,0,,,"100,000",0,0,0,100000,0.00%,99.99%
Zhejiang University,cherideal,cherideal,TRUE,Not necessary -- delegation only,0,,,"100,000",0,0,0,100000,0.00%,100.00%
LSE Blockchain Society,LRUki,LRUki_LBL_LSE,TRUE,Not necessary -- delegation only,0,,,"100,000",0,0,0,100000,0.00%,100.00%
Bison Trails 2 (DWS),SEE ABOVE,,FALSE,TRUE,,,,0,0,0,0,,,
Certus One,,,FALSE,FALSE,,,,0,0,0,0,,,
Spherical.One,,,FALSE,FALSE,,,,0,0,0,0,,,
bi23,,,FALSE,FALSE,,,,"2,520,000",0,0,0,,,
Blockscape,,,FALSE,FALSE,,,,TBD,0,0,0,,,
IrisNet,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Dragonfly Capital Partners,,,FALSE,FALSE,,,,TBD,0,0,0,,,
simply vc2,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Hashfield Technologies,,,FALSE,FALSE,,,,TBD,0,0,0,,,
sr-oasis-node,,,FALSE,FALSE,"5,000",,,TBD,0,0,0,,,
Anchorage,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Cornell University Blockchain Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Cambridge Blockchain Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
UIUC Blockchain SIG,,,FALSE,FALSE,,,,TBD,0,0,0,,,
USF ,,,FALSE,FALSE,,,,TBD,0,0,0,,,
KCL Blockchain Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Oxford Blockchain Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Tsinghua University,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Adelaide Blockchain Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
McGill University Blockchain Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Cape Town Cryptocurrencies Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Aberdeen AI and Crypto Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Edinburgh Fintech Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Lausanne Blockchain Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Leeds Blockchain Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Technology Sydney Fintech Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Washington Blockchain Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Australian National University (ANU) Blockchain Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
University of Cape Town Cryptocurrencies Club,,,FALSE,FALSE,,,,TBD,0,0,0,,,
London School of Economics (LSE) Blockchain Society,,,FALSE,FALSE,,,,,0,0,0,,,
University of Sydney (UYSD) Blockchain & Cryptocurrency Society,,,FALSE,FALSE,,,,TBD,0,0,0,,,
Alethea,,,,FALSE,,,,TBD,0,0,0,,,
Bankex,,,,FALSE,,,,TBD,0,0,0,,,
Luther.ai,,,,FALSE,,,,TBD,0,0,0,,,
Castilise,,,,FALSE,,,,TBD,0,0,0,,,
Ruyi Health,,,,FALSE,,,,TBD,0,0,0,,,
Asclepius,,,,FALSE,,,,TBD,0,0,0,,,
Saferate,,,,FALSE,,,,TBD,0,0,0,,,
Danilo,,,,FALSE,,,,TBD,0,0,0,,,
Boxmining,,,,FALSE,,,,TBD,0,0,0,,,
Cryptodiffer,,,,FALSE,,,,TBD,0,0,0,,,
Hype partners,,,,FALSE,,,,TBD,0,0,0,,,
Figment v. 2,,,,FALSE,,,,TBD,0,0,0,,,
ChainNews,,,,FALSE,,,,TBD,0,0,0,,,
7x Capital,,,,FALSE,,,,TBD,0,0,0,,,
KryptoHenry,,,,FALSE,,,,TBD,0,0,0,,,
